"",,,,,Police Log,,
"",,,,,Arizona State University Police Department,,
"",,,,,"Wednesday, August 01, 2012",,
"",,,,,Occurred,,
"",Date,Time,,,,,
12-14500T,8/19,1451 hrs,8/18,2100 hrs,8/19,1430 hrs,Bike Theft,Palo Verde Main,Pending
"",,,,,,,"Possession of Marijuana, Possession of Drug",,
12-14506T,8/19,1644 hrs,8/19,1644 hrs,8/19,1730 hrs,,Hassayampa Phase 2,Pending
"",,,,,,,Paraphernalia,,
"",,,,,,,,E Van Buren St / N. 3rd,
12-14508D,8/19,1703 hrs,8/19,1703 hrs,8/19,1723 hrs,Driving on Suspended License,,Cleared by Arrest
"",,,,,,,,St.,
12-14511T,8/19,1944 hrs,8/19,1944 hrs,8/19,1944 hrs,Structure Burglary,Palo Verde East,Pending
12-14517T,8/19,2101 hrs,8/19,1600 hrs,8/19,1715 hrs,Structure Burglary,Palo Verde East,Pending
"",,,,,Occurred,,,,
"",Date,Time,,,,,,,
Incident #,,,,From,Thru,,Description,Location,Disposition
"",Reported,Reported,,,,,,,
"",,,Date,Time,Date,Time,,,
12-14535T,8/20,0051 hrs,8/20,0051 hrs,8/20,0058 hrs,Under 21 with Alcohol in Body,Juniper Hall,Cleared by Arrest
12-14539T,8/20,0229 hrs,8/20,0229 hrs,8/20,0237 hrs,Under 21 with Alcohol in Body,McClintock Hall,Cleared by Arrest
"",,,,,,,,Interdisciplinary A,
12-14551T,8/20,0823 hrs,8/17,1730 hrs,8/20,0730 hrs,Structure Burglary,,Pending
"",,,,,,,,Wing,
"",,,,,,,,Nursing and Health,
12-14561D,8/20,1133 hrs,8/20,1133 hrs,8/20,1133 hrs,Theft,,Pending
"",,,,,,,,Care Innovation,
12-14574T,8/20,1531 hrs,8/19,1700 hrs,8/20,1730 hrs,Theft,Hassayampa Phase 2,Pending
12-14583T,8/20,1821 hrs,8/20,1620 hrs,8/20,1821 hrs,Structure Burglary,Palo Verde East,Pending
